Designator,Mid X,Mid Y,Rotation,Layer
C1,122.2078,-67.8902,0.0,top
C10,153.0366,-65.1684,0.0,top
C11,153.0646,-59.8574,0.0,top
C12,156.9482,-56.0474,270.0,top
C13,122.2078,-66.7726,180.0,top
C14,144.653,-62.6006,90.0,top
C15,122.2078,-60.575,0.0,top
C16,155.0914,-59.8574,0.0,top
C17,158.0658,-56.0474,270.0,top
C18,144.653,-64.5818,270.0,top
C19,122.2078,-58.2382,180.0,top
C2,150.351,-66.7154,270.0,top
C20,146.1346,-69.4944,180.0,top
C21,150.9184,-58.2208,0.0,top
C22,138.159,-60.1686,0.0,top
C23,138.159,-62.4038,0.0,top
C24,138.159,-61.2862,0.0,top
C25,138.159,-66.4678,0.0,top
C26,129.5738,-68.0146,90.0,top
C27,130.1834,-57.4254,270.0,top
C28,129.0938,-69.6174,0.0,top
C29,122.174,-54.6314,0.0,top
C3,157.1742,-59.6034,180.0,top
C30,122.174,-55.7998,0.0,top
C31,157.1794,-60.9242,180.0,top
C32,128.524,-55.7784,0.0,top
C33,128.524,-56.9174,0.0,top
C34,155.1194,-61.991,180.0,top
C35,155.0966,-60.9242,180.0,top
C4,153.0594,-64.0508,180.0,top
C5,153.0594,-62.9332,180.0,top
C6,147.5698,-58.2222,0.0,top
C7,159.1834,-58.1024,270.0,top
C8,160.301,-58.1024,270.0,top
C9,151.4686,-66.7154,270.0,top
D1,153.7374,-57.4546,90.0,top
D2,155.7798,-63.8198,180.0,top
D3,115.1696,-69.4396,0.0,top
D4,115.1696,-71.4396,0.0,top
D5,115.1696,-73.4396,0.0,top
FB1,122.2078,-59.4066,0.0,top
FB2,127.514,-59.051,0.0,top
FB3,138.1868,-59.051,180.0,top
FB4,128.524,-54.6314,180.0,top
FL1,126.409,-63.6738,180.0,top
J1,115.175,-62.5,270.0,top
J2,166.6762,-62.5,0.0,top
J3,141.425324,-58.311,0.0,top
L1,158.0658,-58.1024,90.0,top
L2,155.8306,-58.1024,270.0,top
L3,155.8306,-56.0474,90.0,top
L4,157.1744,-61.991,180.0,top
L5,152.6302,-61.4092,90.0,top
R1,122.2078,-61.8958,0.0,top
R10,134.5522,-57.4254,90.0,top
R11,132.6134,-68.0146,90.0,top
R12,147.7026,-67.812,270.0,top
R13,146.5072,-67.818,270.0,top
R14,145.3896,-67.818,270.0,top
R15,140.1402,-62.4038,0.0,top
R16,135.9662,-68.0146,90.0,top
R17,137.0838,-68.0146,90.0,top
R18,134.1374,-68.0146,270.0,top
R19,130.9708,-68.0146,270.0,top
R2,122.2078,-65.4518,0.0,top
R20,128.4562,-68.0148,90.0,top
R21,126.3504,-62.1498,180.0,top
R22,126.3456,-65.1978,0.0,top
R23,120.5738,-55.0926,270.0,top
R24,126.3226,-66.671,0.0,top
R25,126.3226,-67.7886,0.0,top
R3,122.174,-56.9682,0.0,top
R4,159.2322,-60.9242,180.0,top
R5,159.2342,-59.6034,0.0,top
R6,156.9482,-58.1024,90.0,top
R7,148.8202,-67.812,270.0,top
R8,136.2286,-57.4254,270.0,top
R9,132.8758,-57.4254,270.0,top
U1,148.7228,-62.3932,270.0,top
U2,122.8068,-63.6738,0.0,top
U3,132.8589,-62.6778,180.0,top
U4,125.3545,-56.1046,180.0,top
Y1,154.1718,-67.6806,180.0,top
Y2,139.245,-64.5374,0.0,top
